time,altitude,speed
0,2.32,23.87
50,2.32,23.87
100,2.32,23.87
150,2.32,23.87
200,7.01,23.87
250,7.01,91.84
300,7.01,91.84
350,7.01,91.84
400,7.01,91.84
450,7.01,91.84
500,7.01,0.00
550,7.01,0.00
600,17.58,0.00
650,17.58,0.00
700,17.58,0.00
750,17.58,207.24
800,17.58,207.24
850,17.58,207.24
900,17.58,207.24
950,32.72,207.24
1000,32.72,296.95
1050,32.72,296.95
1100,32.72,296.95
1150,32.72,296.95
1200,32.72,296.95
1250,32.72,0.00
1300,32.72,0.00
1350,50.49,0.00
1400,50.49,0.00
1450,50.49,0.00
1500,50.49,348.31
1550,50.49,348.31
1600,50.49,348.31
1650,50.49,348.31
1700,69.23,348.31
1750,69.23,367.51
1800,69.23,367.51
1850,69.23,367.51
1900,69.23,367.51
1950,69.23,367.51
2000,69.23,0.00
2050,88.98,0.00
2100,88.98,0.00
2150,88.98,0.00
2200,88.98,0.00
2250,88.98,387.38
2300,88.98,387.38
2350,88.98,387.38
2400,88.98,387.38
2450,108.41,387.38
2500,108.41,380.82
2550,108.41,380.82
2600,108.41,380.82
2650,108.41,380.82
2700,108.41,380.82
2750,108.41,0.00
2800,127.18,0.00
2850,127.18,0.00
2900,127.18,0.00
2950,127.18,0.00
3000,127.18,368.02
3050,127.18,368.02
3100,127.18,368.02
3150,127.18,368.02
3200,145.59,368.02
3250,145.59,361.06
3300,145.59,361.06
3350,145.59,361.06
3400,145.59,361.06
3450,145.59,361.06
3500,145.59,0.00
3550,163.07,0.00
3600,163.07,0.00
3650,163.07,0.00
3700,163.07,0.00
3750,163.07,342.66
3800,163.07,342.66
3850,163.07,342.66
3900,179.57,342.66
3950,179.67,342.66
4000,179.67,325.56
4050,179.67,325.56
4100,179.67,325.56
4150,179.67,325.56
4200,179.67,325.56
4250,179.67,0.00
4300,195.93,0.00
4350,195.93,0.00
4400,195.93,0.00
4450,195.93,0.00
4500,195.93,318.89
4550,195.93,318.89
4600,195.93,318.89
4650,211.51,318.89
4700,211.51,318.89
4750,211.51,305.37
4800,211.51,305.37
4850,211.51,305.37
4900,211.51,305.37
4950,211.51,305.37
5000,226.07,285.53
5050,226.17,285.53
5100,226.17,285.53
5150,226.17,285.53
5200,226.17,285.53
5250,226.17,1.91
5300,226.17,1.91
5350,226.17,1.91
5400,239.74,1.91
5450,239.74,1.91
5500,239.74,266.25
5550,239.74,266.25
5600,239.74,266.25
5650,239.74,266.25
5700,239.74,266.25
5750,252.88,257.55
5800,253.01,257.55
5850,253.01,257.55
5900,253.01,257.55
5950,253.01,257.55
6000,253.01,2.56
6050,253.01,2.56
6100,253.01,2.56
6150,264.95,2.56
6200,264.95,2.56
6250,264.95,234.08
6300,264.95,234.08
6350,264.95,234.08
6400,264.95,234.08
6450,264.95,234.08
6500,275.90,214.73
6550,275.90,214.73
6600,275.90,214.73
6650,275.90,214.73
6700,275.90,214.73
6750,275.90,0.00
6800,275.90,0.00
6850,275.90,0.00
6900,285.98,0.00
6950,285.98,0.00
7000,285.98,197.74
7050,285.98,197.74
7100,285.98,197.74
7150,285.98,197.74
7200,285.98,197.74
7250,294.97,176.19
7300,294.97,176.19
7350,294.97,176.19
7400,294.97,176.19
7450,294.97,176.19
7500,294.97,0.00
7550,294.97,0.00
7600,302.38,0.00
7650,302.51,0.00
7700,302.51,0.00
7750,302.51,147.85
7800,302.51,147.85
7850,302.51,147.85
